Source,Target,R,P
Angelakisella,Clostridium,1,3.51907640361983e-17
Alistipes,Culturomica,1,5.90855367541904e-21
Blautia,Dorea,1,2.31647011815579e-17
Angelakisella,Emergencia,1,2.46316721924496e-18
Clostridium,Emergencia,1,1.47235779199031e-16
Citrobacter,Enterobacter,1,5.2210243673863e-19
Achromobacter,Escherichia,1,9.68423003346902e-54
Angelakisella,Eubacterium,1,6.10023048944451e-22
Clostridium,Eubacterium,1,1.117758249292e-17
Dorea,Eubacterium,1,1.85150289715609e-17
Emergencia,Eubacterium,1,8.3888537253755e-24
Blautia,Fusicatenibacter,1,1.92139957061684e-20
Dorea,Fusicatenibacter,1,8.86988365338706e-20
Angelakisella,Intestinimonas,1,7.70776986406414e-37
Eubacterium,Intestinimonas,1,5.28539596494204e-18
Angelakisella,Massilioclostridium,1,1.30225576795222e-32
Dorea,Massilioclostridium,1,2.31559110587502e-16
Emergencia,Massilioclostridium,1,2.34035514866044e-19
Eubacterium,Massilioclostridium,1,3.65669537633028e-24
Intestinimonas,Massilioclostridium,1,8.20053119889791e-25
Angelakisella,Megasphaera,1,7.03912205816748e-18
Emergencia,Megasphaera,1,3.77724197167931e-18
Eubacterium,Megasphaera,1,1.01658498895327e-19
Massilioclostridium,Megasphaera,1,2.28709697908378e-18
Angelakisella,Negativibacillus,1,2.4007968753187e-23
Intestinimonas,Negativibacillus,1,8.20721686403381e-23
Massilioclostridium,Negativibacillus,1,1.0689885797373e-17
Angelakisella,Oscillibacter,1,4.78841853358085e-23
Intestinimonas,Oscillibacter,1,4.11468912900885e-29
Negativibacillus,Oscillibacter,1,1.51030499582201e-18
Culturomica,Prevotella,1,4.72489682141595e-20
Porphyromonas,Prevotella,1,1.65241229426764e-16
Culturomica,Prevotellamassilia,1,3.05429476535094e-21
Mediterranea,Prevotellamassilia,1,4.09341947323947e-19
Prevotella,Prevotellamassilia,1,8.51617988658534e-21
Angelakisella,Roseburia,1,6.36917606911477e-19
Dorea,Roseburia,1,2.1875398472267e-16
Fusicatenibacter,Roseburia,1,9.40674224026079e-18
Lachnospira,Roseburia,1,1.59402672700933e-19
Massilioclostridium,Roseburia,1,2.93511144312674e-19
Blautia,Ruminococcus,1,2.56761252860175e-30
Fusicatenibacter,Ruminococcus,1,1.07176102520504e-19
Achromobacter,Shigella,1,1.55261980483831e-54
Escherichia,Shigella,1,1.53054256577357e-59
Ruthenibacterium,Subdoligranulum,1,3.28164217600593e-45
Culturomica,Tannerella,1,1.61331639203392e-27
Prevotellamassilia,Tannerella,1,1.73021144282934e-16
Alistipes,Tidjanibacter,1,2.30478283950021e-17
Bacteroides,K00012,1,5.03181007810341e-17
K00052,K00053,1,4.03497930831621e-19
Prevotella,K00099,1,1.09660018467982e-17
Prevotellamassilia,K00099,1,2.61686908851214e-18
K00088,K00099,1,3.4880364300049e-18
K00052,K00145,1,1.71693749404998e-20
Porphyromonas,K00174,1,1.0263158869415e-16
K00012,K00174,1,7.70617300242925e-18
Bacteroides,K00175,1,8.87897723266421e-18
Porphyromonas,K00175,1,1.4057554989591e-16
K00012,K00175,1,3.08830535168134e-19
K00174,K00175,1,1.47834102726619e-64
Alistipes,K00262,1,6.62783921127446e-17
Culturomica,K00262,1,1.73081714754236e-20
Parabacteroides,K00262,1,1.75013429633919e-17
Prevotella,K00262,1,4.6658671745153e-18
Prevotellamassilia,K00262,1,4.04776698975069e-17
Tannerella,K00262,1,2.50703543285386e-16
K00174,K00262,1,5.98377052073504e-18
K00175,K00262,1,1.5631874763673e-17
K00052,K00548,1,1.23720729403147e-16
